id,LAB_1,CON_1,PC_1
W07000049,50.73,6.44,20.03
W07000058,27.4,34.69,31.27
W07000043,45.73,21.01,8.96
W07000057,34.01,8.28,54.83
W07000072,39.65,6.27,36.6
W07000068,8.9,25.45,3.89
W07000073,45.31,24.37,9.57
W07000076,35.35,8.9,29.54
W07000050,38.42,8.89,7.48
W07000051,44.77,34.98,6.08
W07000080,43.84,20.98,14.27
W07000079,35.61,17.58,31.93
W07000067,19.25,15.09,48.49
W07000066,23.88,35.42,18.67
W07000064,6.45,7.04,40.75
W07000062,35.48,21.87,17.42
W07000059,20,41.3,21.99
W07000070,51.1,6.12,19.94
W07000042,40.93,25.47,9.8
W07000061,12.07,15.62,47.27
W07000046,39.69,33.63,9.88
W07000077,45.05,7.96,19.49
W07000045,36.52,6.89,35.16
W07000071,47.2,6.44,17.99
W07000054,26.87,43.26,5.81
W07000063,5.89,41.84,10.21
W07000069,37.33,8.59,25.81
W07000055,44.61,18.21,6.7
W07000056,43.81,28.98,5.93
W07000074,55.21,11.08,14.67
W07000075,39.41,15.33,18.39
W07000065,25.33,39.17,13.93
W07000052,35.9,2.25,50.63
W07000048,52.13,8.4,13.34
W07000047,40.6,17.72,14.53
W07000053,42.16,17.11,12.45
W07000060,39.53,36.36,8.68
W07000078,38.77,36.72,10.24
W07000044,37.1,30.59,12.93
W07000041,17,11.54,54.79
NA,NA,NA,NA
NA,34.7,21.1,20.5
NA,NA,NA,NA
